[2026-04-28T08:23:43.482Z] GET http://localhost:8080/frames/00035.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.482Z] GET http://localhost:8080/frames/00036.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.482Z] GET http://localhost:8080/frames/00037.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.482Z] GET http://localhost:8080/frames/00038.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.482Z] GET http://localhost:8080/frames/00039.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.482Z] GET http://localhost:8080/frames/00040.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.482Z] GET http://localhost:8080/frames/00041.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.482Z] GET http://localhost:8080/frames/00042.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.482Z] GET http://localhost:8080/frames/00043.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.482Z] GET http://localhost:8080/frames/00044.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.482Z] GET http://localhost:8080/frames/00045.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.482Z] GET http://localhost:8080/frames/00046.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.482Z] GET http://localhost:8080/frames/00047.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.483Z] GET http://localhost:8080/frames/00048.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.483Z] GET http://localhost:8080/frames/00049.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.483Z] GET http://localhost:8080/frames/00050.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.483Z] GET http://localhost:8080/frames/00051.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.483Z] GET http://localhost:8080/frames/00052.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.483Z] GET http://localhost:8080/frames/00053.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.483Z] GET http://localhost:8080/frames/00054.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.483Z] GET http://localhost:8080/frames/00055.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.483Z] GET http://localhost:8080/frames/00056.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.483Z] GET http://localhost:8080/frames/00057.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.483Z] GET http://localhost:8080/frames/00058.jpg → pending (?ms, ?B)
[2026-04-28T08:23:43.484Z] GET http://localhost:8080/frames/00059.jpg → pending (?ms, ?B)
